Feature,T-Statistic,P-Value
bant_submit,0.4562911318615911,0.6481908580496185
customer_country,-1.242462091805966,0.21409616032961917
business_unit,-1.5229304208225811,0.12780871905800853
com_reg_ver_win_rate,,
customer_idx,0.511090585095601,0.6092992628949663
customer_type,0.6882946283359939,0.49128372692555544
enterprise,-0.6928371823774094,0.488428325382783
historical_existing_cnt,,
id_strategic_ver,,
it_strategic_ver,,
idit_strategic_ver,,
customer_job,-0.4023705447342362,0.6874202123638113
lead_desc_length,1.0047882532265615,0.3150238905024816
inquiry_type,0.5758678841139188,0.5647178472425887
product_category,-0.49074107981975207,0.6236206911649645
product_subcategory,-0.8771278923374343,0.380438903406046
product_modelname,-0.2326329312934142,0.8160513623853399
customer_country.1,-1.242462091805966,0.21409616032961917
customer_position,-0.5880549901432219,0.5565090761733384
response_corporate,-0.9424453640815352,0.34598814691106416
expected_timeline,-0.8802335062991395,0.3787546373698024
ver_cus,0.17295958389077323,0.8626868056098549
ver_pro,-0.11118296453284286,0.9114735610204037
ver_win_rate_x,,
ver_win_ratio_per_bu,,
business_area,0.5148874902605386,0.6066433775238588
business_subarea,0.8609233944458142,0.38930151981022154
lead_owner,-0.2701651577433251,0.787038945071737
is_converted,-0.20304872858080353,0.8391012052866991
